               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09876,            0.062115,                   0,             0.36898,             0.61174,             0.48495,             0.16505,            0.068459,            0.049602,                   0,            0.070517,           0.0032759,           0.0032759
                   1,            0.068972,            0.057395,                   0,             0.38588,             0.58475,             0.41154,             0.14887,            0.067327,            0.028026,                   0,            0.040452,           0.0065438,           0.0065438
                   2,            0.066888,            0.052443,                   0,             0.60981,             0.75521,             0.72292,             0.27667,             0.05757,            0.026196,                   0,             0.01032,           0.0097457,           0.0097457
                   3,            0.058003,            0.051135,                   0,             0.67508,             0.82929,             0.80717,             0.38132,            0.047227,            0.027463,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.051462,            0.049872,                   0,             0.93631,             0.92614,             0.96881,             0.55129,            0.039211,            0.024698,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.047345,            0.048062,                   0,             0.95969,             0.95076,             0.98324,             0.57492,            0.035843,            0.022737,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.044107,            0.046791,                   0,             0.96909,              0.9502,             0.98574,              0.5898,            0.037639,             0.02258,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.042404,            0.045565,                   0,             0.96083,             0.96392,             0.98831,             0.62258,            0.033897,            0.022427,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.041297,            0.046025,                   0,             0.96482,             0.97396,             0.98853,             0.64871,            0.032348,            0.021587,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039144,            0.045498,                   0,             0.96749,             0.96023,             0.98714,             0.64026,            0.033191,            0.021888,                   0,            0.009208,            0.009208,            0.009208
                  10,             0.03857,            0.043984,                   0,             0.97364,             0.96496,             0.98927,             0.66658,            0.032462,            0.020834,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.035691,            0.043728,                   0,             0.97707,             0.96117,             0.99103,             0.68567,            0.029853,            0.020672,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.035706,            0.043596,                   0,             0.96377,             0.96591,             0.98942,             0.67431,            0.031754,            0.020552,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.036397,            0.043499,                   0,             0.97198,              0.9768,             0.98947,             0.62646,            0.033628,            0.020853,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035542,            0.043168,                   0,             0.97627,             0.97396,             0.99228,             0.69849,            0.030676,            0.019905,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034626,            0.040783,                   0,             0.96614,             0.97276,             0.99142,             0.69604,            0.030498,            0.019792,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.033864,            0.041486,                   0,             0.97888,             0.97585,             0.99047,              0.6973,            0.028934,            0.019583,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.033554,            0.041511,                   0,             0.98754,             0.97064,             0.99346,             0.71775,            0.027836,            0.019328,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.032491,            0.040547,                   0,             0.98128,             0.96799,             0.99206,             0.70561,            0.028574,            0.019696,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.032506,             0.04091,                   0,             0.98094,             0.97458,             0.99058,             0.67159,            0.030473,            0.019821,                   0,            0.008218,            0.008218,            0.008218
